row_id,true_label,conflict_uid,prompt_style,model_name,raw_response_text,normalized_label,response_id,is_correct
0,HAY_DIALOGO,CF-0000351,zero_shot_simple,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_05df4e7240b0c0770069b0d50bd60c81949c2c00a7b5ae788d,true
0,HAY_DIALOGO,CF-0000351,zero_shot_rubric,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_0b7b2c9e68b100400069b0d510ca2881979c4deceeb1c6b973,true
0,HAY_DIALOGO,CF-0000351,few_shot,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_0df3d8cc65a426360069b0d5131cbc81959a7cc3772832563a,true
0,HAY_DIALOGO,CF-0000351,structured_json,gpt-5-mini,"{""label"":""HAY_DIALOGO"",""confidence"":0.85,""rationale"":""Se menciona seguimiento de acuerdos periódicos y entrevistas a autoridades sobre dichos acuerdos, lo que indica existencia de diálogo entre las partes.""}",HAY_DIALOGO,resp_011c3db0f1fc3db40069b0d51d7dd88197b433d87ab7ff2a7b,true
0,HAY_DIALOGO,CF-0000351,structured_few_shot_rubric,gpt-5-mini,"{""label"":""HAY_DIALOGO"",""confidence"":0.9,""rationale"":""Funcionarios indican que el caso está en 'seguimiento de acuerdos' (cada tres meses), lo que evidencia un proceso de diálogo/seguimiento de acuerdos activo.""}",HAY_DIALOGO,resp_05338d5a730eefc50069b0d52370bc819480f368c0583e5fcb,true
1,HAY_DIALOGO,CF-0000311,zero_shot_simple,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_0357a228abc569a30069b0d529138881908917eb00a44cf9c0,true
1,HAY_DIALOGO,CF-0000311,zero_shot_rubric,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_091a2517911474060069b0d52c296c8190b9017ebb6a935318,true
1,HAY_DIALOGO,CF-0000311,few_shot,gpt-5-mini,HAY_DIALOGO,HAY_DIALOGO,resp_0f82862335b33b4e0069b0d52e360c819392a0c3dae26a760e,true
1,HAY_DIALOGO,CF-0000311,structured_json,gpt-5-mini,"{""label"":""HAY_DIALOGO"",""confidence"":0.92,""rationale"":""Se registran reuniones de mesa de diálogo con facilitación (OGGS‑MINEM), acuerdos, propuestas y programación de próximas sesiones, evidenciando interacción y negociación entre las partes.""}",HAY_DIALOGO,resp_0f9f66f49c6217c70069b0d530e6e88193b8238a627a35b1d2,true
1,HAY_DIALOGO,CF-0000311,structured_few_shot_rubric,gpt-5-mini,"{""label"":""HAY_DIALOGO"",""confidence"":0.92,""rationale"":""Se documentan reuniones de mesa de diálogo, acuerdos, cronograma y facilitación por OGGS-MINEM, lo que evidencia un proceso de diálogo activo.""}",HAY_DIALOGO,resp_030747bb9f30c11c0069b0d536c9c081979633dfdf3ee12c0b,true
